USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_R_score,req_Atlassian JIRA Software_score,req_Microsoft Power BI_score,lang_French_score,lang_English_score
2843838,9,0,5,0.0,0.0,0.0,300.0,200.0
2479537,9,0,5,0.0,0.0,0.0,300.0,180.0
2533337,9,0,5,0.0,0.0,0.0,300.0,100.0
2446382,9,0,5,80.0,0.0,160.0,300.0,120.0
2433124,9,0,5,0.0,0.0,0.0,300.0,200.0
2817191,9,0,5,0.0,0.0,0.0,300.0,200.0
2936770,9,0,5,0.0,0.0,0.0,0.0,0.0
2501258,9,0,5,0.0,0.0,0.0,300.0,200.0
2433139,9,0,5,0.0,0.0,0.0,300.0,200.0
2480827,9,0,5,0.0,0.0,160.0,0.0,180.0
2433122,9,0,5,0.0,0.0,0.0,300.0,160.0
2433125,9,0,5,0.0,0.0,160.0,300.0,200.0
2513848,9,0,5,0.0,0.0,0.0,300.0,160.0
2433130,9,0,5,0.0,0.0,0.0,300.0,200.0
2447746,9,0,5,0.0,0.0,200.0,300.0,140.0
2433144,9,0,5,0.0,0.0,0.0,300.0,200.0
2433117,9,0,5,0.0,0.0,120.0,300.0,200.0
2433135,9,0,5,0.0,0.0,0.0,300.0,200.0
2475141,9,0,5,0.0,0.0,120.0,300.0,200.0
2445183,9,0,5,0.0,120.0,200.0,300.0,200.0
2671704,9,0,5,200.0,100.0,0.0,300.0,160.0
2501164,9,0,5,0.0,0.0,0.0,300.0,200.0
2451715,9,0,5,0.0,0.0,0.0,300.0,200.0
2446130,9,0,5,0.0,200.0,0.0,300.0,160.0
2452725,9,0,5,200.0,0.0,200.0,300.0,200.0
2977311,9,0,5,0.0,0.0,0.0,0.0,0.0
2583132,9,0,5,0.0,140.0,140.0,270.0,140.0
2513866,9,0,5,120.0,120.0,120.0,300.0,180.0
2443989,9,0,5,0.0,0.0,0.0,300.0,200.0
2700124,9,0,5,0.0,0.0,100.0,180.0,160.0
2836571,9,0,5,120.0,100.0,140.0,300.0,160.0
2683916,9,0,5,0.0,0.0,0.0,0.0,0.0
2978961,9,0,5,0.0,0.0,180.0,0.0,200.0
2432194,9,0,5,0.0,0.0,0.0,300.0,200.0
2453262,9,0,5,0.0,160.0,140.0,300.0,120.0
2443199,9,0,5,120.0,0.0,160.0,300.0,160.0
3072774,9,0,5,80.0,0.0,0.0,300.0,180.0
2726335,9,0,5,0.0,0.0,0.0,0.0,0.0
2433140,9,0,5,0.0,0.0,0.0,300.0,200.0
2503861,9,0,5,0.0,0.0,0.0,0.0,180.0
2433083,9,0,5,0.0,0.0,0.0,300.0,160.0
2471586,9,0,5,0.0,0.0,0.0,300.0,0.0
2578963,9,0,5,0.0,0.0,180.0,300.0,160.0
2903451,9,0,5,0.0,0.0,0.0,0.0,0.0
2766619,9,0,5,0.0,0.0,160.0,300.0,160.0
2841644,9,0,5,0.0,0.0,0.0,300.0,180.0
2708864,9,0,5,0.0,0.0,120.0,300.0,120.0
2967233,9,0,5,0.0,0.0,0.0,0.0,0.0
2446029,9,0,5,0.0,0.0,0.0,300.0,200.0
2693756,9,0,5,0.0,0.0,0.0,0.0,0.0
2513831,9,0,5,0.0,120.0,80.0,300.0,120.0
2453233,9,0,5,160.0,0.0,200.0,300.0,200.0
2552838,9,0,5,0.0,0.0,0.0,300.0,120.0
2445156,9,0,5,0.0,0.0,0.0,300.0,200.0
2433109,9,0,5,0.0,200.0,0.0,300.0,160.0
2433142,9,0,5,0.0,0.0,0.0,300.0,200.0
2437177,9,0,5,0.0,0.0,0.0,0.0,0.0
2449548,9,0,5,0.0,0.0,0.0,300.0,120.0
2450849,9,0,5,0.0,0.0,200.0,300.0,200.0
2502347,9,0,5,0.0,0.0,0.0,300.0,200.0
2645516,9,0,5,0.0,0.0,120.0,300.0,200.0
2447527,9,0,5,0.0,0.0,0.0,300.0,160.0
