USER_ID,English_level,French_level
2432194,100.0,100.0
2433083,80.0,100.0
2433092,80.0,100.0
2433099,80.0,100.0
2433109,80.0,100.0
2433111,100.0,100.0
2433112,80.0,100.0
2433114,100.0,100.0
2433117,100.0,100.0
2433118,100.0,100.0
2433120,60.0,100.0
2433122,80.0,100.0
2433124,100.0,100.0
2433125,100.0,100.0
2433130,100.0,100.0
2433134,80.0,100.0
2433135,100.0,100.0
2433136,100.0,100.0
2433138,80.0,100.0
2433139,100.0,100.0
2433140,100.0,100.0
2433141,100.0,100.0
2433142,100.0,100.0
2433143,100.0,100.0
2433144,100.0,100.0
2433852,80.0,0.0
2437177,0.0,0.0
2442934,80.0,0.0
2443199,80.0,100.0
2443208,60.0,100.0
2443771,100.0,100.0
2443989,100.0,100.0
2444211,100.0,100.0
2445149,80.0,100.0
2445156,100.0,100.0
2445183,100.0,100.0
2445187,80.0,100.0
2446029,100.0,100.0
2446130,80.0,100.0
2446382,60.0,100.0
2447137,60.0,100.0
2447527,80.0,100.0
2447672,80.0,100.0
2447746,70.0,100.0
2448418,80.0,100.0
2449548,60.0,100.0
2449639,60.0,100.0
2449781,100.0,100.0
2450849,100.0,100.0
2451715,100.0,100.0
2451804,100.0,100.0
2451833,60.0,100.0
2452725,100.0,100.0
2453233,100.0,100.0
2453262,60.0,100.0
2456839,80.0,100.0
2456947,100.0,100.0
2457327,100.0,100.0
2471586,0.0,100.0
2475141,100.0,100.0
2479537,90.0,100.0
2480827,90.0,0.0
2499680,100.0,100.0
2501164,100.0,100.0
2501258,100.0,100.0
2501974,100.0,100.0
2502347,100.0,100.0
2503861,90.0,0.0
2513831,60.0,100.0
2513848,80.0,100.0
2513866,90.0,100.0
2533337,50.0,100.0
2533338,60.0,100.0
2535513,100.0,100.0
2540340,70.0,100.0
2551856,80.0,100.0
2552838,60.0,100.0
2560995,60.0,100.0
2571584,70.0,100.0
2578963,80.0,100.0
2579999,100.0,100.0
2583132,70.0,90.0
2599691,80.0,100.0
2634865,100.0,100.0
2645516,100.0,100.0
2662823,100.0,100.0
2671704,80.0,100.0
2676328,90.0,100.0
2689959,100.0,100.0
2700124,80.0,60.0
2708864,60.0,100.0
2713733,100.0,80.0
2725267,100.0,100.0
2766619,80.0,100.0
2789547,70.0,100.0
2789583,100.0,100.0
2817191,100.0,100.0
2818577,60.0,100.0
2836571,80.0,100.0
2841644,90.0,100.0
2843838,100.0,100.0
2895177,0.0,0.0
2920938,80.0,0.0
2936770,0.0,0.0
2946290,90.0,100.0
2957009,100.0,0.0
2967233,0.0,0.0
2976032,0.0,0.0
2978961,100.0,0.0
3072774,90.0,100.0
